"","elpd_diff","se_diff","elpd_loo","se_elpd_loo","p_loo","se_p_loo","looic","se_looic"
"m2centroid_boundary_within_interaction_spatial",-8.36077483204504,3.9276427921411,-2325.95860478286,68.2873737574545,52.1358716589947,2.90709254868322,4651.91720956571,136.574747514909
"m2prob_spec_within_additive_spatial",-9.01125089716378,3.93291839914721,-2326.60908084798,68.1604711200839,49.2016042586282,2.70237323862784,4653.21816169596,136.320942240168
"m2prob_spec_raw_interaction_spatial",-9.48944496468106,3.88994312659679,-2327.08727491549,68.2410485758379,49.5873079828508,2.76694629304093,4654.17454983098,136.482097151676
"m2prob_spec_raw_additive_spatial",-9.59439297922182,3.85701067570472,-2327.19222293003,68.2084217285903,49.6088996026999,2.72634121925893,4654.38444586006,136.416843457181
"m2prob_spec_within_interaction_spatial",-9.66347585576955,3.9941563773712,-2327.26130580658,68.2313667560011,50.3537927667318,2.80362207671584,4654.52261161317,136.462733512002
"m1prob_v2",-37.5191213634693,8.7051012899527,-2355.11695131428,68.2578297669183,26.6216021461613,1.64239832620991,4710.23390262856,136.515659533837
"m1marg_v2",-37.8453683737041,8.43046906028206,-2355.44319832452,68.2395866410708,27.0953404464247,1.68726477497472,4710.88639664904,136.479173282142
"m2a_v2",-37.9496821569245,8.45004275807367,-2355.54751210774,68.233228258724,28.4244529864026,1.72675787835595,4711.09502421549,136.466456517448
"m2b_v2",-38.0009113473226,8.36956874659882,-2355.59874129813,68.1919594536279,29.0041023131998,1.75741021216275,4711.19748259626,136.383918907256
"m1marg",-38.0227250492541,8.39654805869444,-2355.62055500006,68.2370183266115,28.0649492088251,1.77218599419925,4711.24111000012,136.474036653223
"m1prob",-38.0900331656678,8.68581186066098,-2355.68786311649,68.2601207113086,28.1177135612286,1.76381042030612,4711.37572623297,136.520241422617
"m2c_v2",-38.8054588040019,8.45891200764144,-2356.40328875481,68.3125160836718,28.0988679719735,1.69543356133539,4712.80657750962,136.625032167344
