"longitude","latitude","n_records","n_assays","assays_present","n_species","species_present","total_tested","has_multiple_assays"
-73.076,-39.286,2,1,"Serology",2,"Abrothrix olivaceus, Oligoryzomys longicaudatus",20,FALSE
-73.069,-39.806,3,1,"Serology",3,"Abrothrix longipilis, Abrothrix olivaceus, Oligoryzomys longicaudatus",27,FALSE
-73.0666668333333,-39.2833335,2,1,"Serology",2,"Abrothrix olivaceus, Oligoryzomys longicaudatus",20,FALSE
-73.012,-36.784,3,1,"Serology",3,"Abrothrix longipilis, Abrothrix olivaceus, Oligoryzomys longicaudatus",63,FALSE
-72.956,-36.617,1,1,"Culture/molecular",1,"Oligoryzomys longicaudatus",1,FALSE
-72.952,-36.799,3,1,"Serology",3,"Abrothrix longipilis, Abrothrix olivaceus, Oligoryzomys longicaudatus",20,FALSE
-72.932,-37.342,2,1,"Serology",2,"Abrothrix longipilis, Oligoryzomys longicaudatus",13,FALSE
-72.9175833594817,-40.1656689318339,2,1,"Serology",2,"Abrothrix olivaceus, Oligoryzomys longicaudatus",48,FALSE
-72.908,-37.142,3,1,"Serology",3,"Abrothrix longipilis, Abrothrix olivaceus, Oligoryzomys longicaudatus",17,FALSE
-72.796,-36.641,3,1,"Serology",3,"Abrothrix longipilis, Abrothrix olivaceus, Oligoryzomys longicaudatus",38,FALSE
-72.783,-40.772,3,1,"Serology",3,"Abrothrix longipilis, Abrothrix olivaceus, Oligoryzomys longicaudatus",39,FALSE
-72.7666666666666,-40.7666666666666,3,1,"Serology",3,"Abrothrix longipilis, Abrothrix olivaceus, Oligoryzomys longicaudatus",44,FALSE
-72.762,-36.689,1,1,"Serology",1,"Abrothrix longipilis",5,FALSE
-72.722,-41.243,3,1,"Serology",3,"Abrothrix longipilis, Abrothrix olivaceus, Oligoryzomys longicaudatus",44,FALSE
-72.7166666666666,-41.2333333333333,3,1,"Serology",3,"Abrothrix longipilis, Abrothrix olivaceus, Oligoryzomys longicaudatus",45,FALSE
-72.688,-37.541,3,1,"Serology",3,"Abrothrix longipilis, Abrothrix olivaceus, Oligoryzomys longicaudatus",38,FALSE
-72.63,-39.543,3,1,"Serology",3,"Abrothrix longipilis, Abrothrix olivaceus, Oligoryzomys longicaudatus",71,FALSE
-72.6166666666666,-39.5333333333333,3,1,"Serology",3,"Abrothrix longipilis, Abrothrix olivaceus, Oligoryzomys longicaudatus",71,FALSE
-72.612,-39.371,3,1,"Serology",3,"Abrothrix longipilis, Abrothrix olivaceus, Oligoryzomys longicaudatus",15,FALSE
-72.5904,-38.7359,1,1,"Culture/molecular",1,"Oligoryzomys longicaudatus",1,FALSE
-72.572,-36.713,3,1,"Serology",3,"Abrothrix longipilis, Abrothrix olivaceus, Oligoryzomys longicaudatus",11,FALSE
